Question,Response
Names of college departments,"The college consists of the Computer Science Department, Information Systems Department, Computer Systems Department, and Scientific Computing Department."
Can the college create new departments?,"Yes, the college may establish other departments in accordance with the provisions of the University Regulation Law."
Degrees granted by the university,"Ain Shams University grants the bachelor's degree in computers and information in the specializations of Computer Science, Information Systems, Scientific Computing, and Computer Systems."
Duration of bachelor's degree,"The duration of study at the College of Computers and Information to obtain a bachelor's degree is no less than 4 years, provided that the requirements for obtaining the scientific degree are met."
What is the minimum percentage required to pass with a grade of D?,The minimum percentage for a grade of D is 60%.
What grade will a student receive if they score below 60%?,A student who scores below 60% will receive an F grade.
What happens to a student who misses the final exam without an acceptable excuse?,They are considered to have failed the course and will be given a grade of 'F'.
When does a student receive an academic warning?,Students receive an academic warning when they achieve a cumulative grade less than '2' in a semester.
How many main semesters can a student's cumulative grade be below 2.00 before they face dismissal?,Over six main semesters.
What is the maximum study duration before a student can be dismissed for not meeting graduation requirements?,Twice the study years as per the law.
Under what circumstances can the College Council consider giving an extra chance to a student facing dismissal?,If they have completed at least 80% of the required credited hours for graduation.
How many courses can a student retake to improve their cumulative grade?,A maximum of 5 courses unless the improvement is for lifting an academic warning or meeting graduation requirements.
What is the highest grade a student can receive if they retake a course in which they had previously received an 'F'?,The highest grade they can receive is 'B'.
What must students do before they can enroll in studies?,They must fully pay the tuition fees.
When is withdrawal from studies permitted?,"With an excuse accepted by the College Council and, if due to illness, a medical certificate from a university-recognized entity must be provided."
What should students do if they change their mailing address?,They must promptly notify the college of any changes in their mailing address.
Can a student transfer what they have studied between credited hour programs in the college?,"Yes, upon paying the registration fees related to the program. These hours are counted in the student's cumulative grade."
Under what circumstances can the College Council suspend a student's registration?,"If there is an accepted reason preventing the student from regular study, the College Council may suspend a student's registration for two consecutive or non-consecutive academic years during their studies at the college."
What are the requirements for the graduation project?,"Students must register for the graduation project, which amounts to 6 mandatory credited hours."
What does the proposed study plan outline?,"The study plan details the courses, the number of allocated academic hours for lectures and designated practical exercises for each course, and the distribution of courses over the two main semesters."
How many years does it typically take to complete an undergraduate degree?,The duration of obtaining a bachelor’s degree is not less than four years.
What are the registration requirements for new students?,"Student registration conditions : Admission is permitted for those who hold a high school diploma (mathematics) or its equivalent, and admission is in order of grades.Success, taking into account the geographical distribution in accordance with what is decided by the Supreme Council of Universities, and that he has studied the physics course and the course Sports (2). In addition, it is required to fulfill the following: - The second examination must prove that he is free of infectious diseases and that he is fit to continue the course of study for which he is applying. A student may not use his name in more than one college at a time."
